"thread_id","noi_dung_hoi","ma_mon","ten_truong"
"24384","<p>
	M&ocirc;n ECO102 kh&ocirc;ng c&oacute; diễn đ&agrave;n th&igrave; t&iacute;nh điểm chuy&ecirc;n cần như thế n&agrave;o ạh?</p>
","ECO102","HOU"
"26090","<p>
	Thầy c&ocirc; cho em hỏi với ạh, em kiểm tra tr&ecirc;n hồ s&ocirc; học tập c&oacute; thấy m&ocirc;n Kinh tế vi m&ocirc;&nbsp; nhưng chỉ c&oacute; điểm giữa kỳ ngo&agrave;i ra điểm chuy&ecirc;n cần, điểm thi v&agrave; điểm tổng kết kh&ocirc;ng thấy c&oacute; vậy ạh? theo em thấy hồ sơ học tập l&agrave; chỉ những m&ocirc;n đ&atilde; học v&agrave; thi kết th&uacute;c khi c&oacute; kết quả mới hiện l&ecirc;n. M&ocirc;n n&agrave;y em đ&atilde; học đầy đủ v&agrave; đ&atilde; thi hết m&ocirc;n</p>
","ECO102","HOU"
"27664","<p>
	Thưa thầy c&ocirc; cho em hỏi:</p>
<p>
	Em đang tham gia v&agrave;o một số lớp tự học như ECO102.ODC,...Tuy nhi&ecirc;n, hiện nay em kh&ocirc;ng thể xem cũng như tải học liệu về, m&agrave;n h&igrave;nh thường b&aacute;o như sau:</p>
<h1 style=""color: rgb(0, 0, 0); font-family: 'Times New Roman';"">
	Forbidden</h1>
<p style=""color: rgb(0, 0, 0); font-family: 'Times New Roman'; font-size: medium;"">
	You don&#39;t have permission to access /Hoclieu/ENG103/Giao trinh/06_HOU_ENG103_Bai2_v1.0013103204.pdf on this server.</p>
<p style=""color: rgb(0, 0, 0); font-family: 'Times New Roman'; font-size: medium;"">
	Additionally, a 404 Not Found error was encountered while trying to use an ErrorDocument to handle the request.</p>
<p style=""color: rgb(0, 0, 0); font-family: 'Times New Roman'; font-size: medium;"">
	Mong thầy c&ocirc; gi&uacute;p em khắc phục t&igrave;nh trạng n&agrave;y.</p>
<p style=""color: rgb(0, 0, 0); font-family: 'Times New Roman'; font-size: medium;"">
	Em xin cảm ơn thầy c&ocirc;!</p>","ECO102","HOU"
"27901","<p>
	M&ocirc;n n&agrave;y lần đ&agrave;u học em kh&ocirc;ng tham gia học được v&agrave; thi ng&agrave;y 11/11/2012 em cũng kh&ocirc;ng tham gia được. Em đ&atilde; đăng k&yacute; học v&agrave; thi lại v&agrave;o ng&agrave;y 31/2/2013 nhưng cho tới nay trong hồ sơ học tập của em lại thể hiện l&agrave;: điểm giữa kỳ 7, điểm chuy&ecirc;n cần 0 v&agrave; điểm tổng kết 0. Xin thầy c&ocirc; kiểm tra lại gi&uacute;p em với</p>
","ECO102","HOU"
"27901","<p>
	B&aacute;o c&aacute;o thầy gi&aacute;o em đ&atilde; tham gia học đầy đủ v&agrave; tham gia thi rồi nhưng trong hồ sơ học điểm lại kh&ocirc;ng thấy đ&acirc;y? em đ&atilde; khiếu nại mấy lần</p>
","ECO102","HOU"
"28054","<p>
	Thưa thầy c&ocirc;, m&ocirc;n n&agrave;y ECO102 em đ&atilde; học xong v&agrave; thi từ 31/3/2013 đến nay vẫn thể hiện tr&ecirc;n lớp học mỗi khi v&agrave;o học. Để thuận tiện cho học c&aacute;c m&ocirc;n kh&aacute;c v&agrave; tiện theo d&otilde;i m&ocirc;n học em mong thầy c&ocirc; chuyển m&ocirc;n n&agrave;y ra khỏi lớp học ạh</p>
","ECO102","HOU"
"28710","<p>
	sao em thấy đ&aacute;p &aacute;n c&acirc;u hỏi n&agrave;y lại kh&aacute;c với m&agrave;u chữ đ&aacute;p &aacute;n những c&acirc;u trước v&agrave; 1 c&acirc;u th&igrave; đ&aacute;p &aacute;n kh&ocirc;ng c&oacute; trong phần chắc nghiệm</p>
","ECO102","HOU"
"28769","<p>
	thưa trung t&acirc;m, khi l&agrave;m bai xong th&igrave; chương tr&igrave;nh chấm điểm sai</p>
","ECO102","HOU"
"28867","<p>
	Thưa trung t&acirc;m, khi t&ocirc;i l&agrave;m b&agrave;i th&igrave; kh&aacute;c với l&uacute;c hien c&acirc;u trả lời. đ&atilde; bị nhiều m&ocirc;n rồi. t&ocirc;i chi chụp h&igrave;nh lai 1 m&ocirc;n l&agrave;m mẫu thoi nhờ giải quyết vi sắp thi rồi ma bị như thế ho&agrave;i kh&ocirc;ng l&agrave;m b&agrave;i được</p>
","ECO102","HOU"
"28950","<p>
	k&iacute;nh thưa, l&agrave; em kh&ocirc;ng thể l&agrave;m b&agrave;i được v&igrave; bị lỗi chấm điểm n&ecirc;n khi n&agrave;o chấm em cũng bị sai</p>
","ECO102","HOU"
